UZAName,Year,VRH,Category
"Austin, TX",2014,1524964,Non-Rail
"Austin, TX",2014,11629,Rail
"Austin, TX",2015,1661026,Non-Rail
"Austin, TX",2015,12253,Rail
"Austin, TX",2016,1754673,Non-Rail
"Austin, TX",2016,12701,Rail
"Austin, TX",2017,1764682,Non-Rail
"Austin, TX",2017,12622,Rail
"Austin, TX",2018,1915204,Non-Rail
"Austin, TX",2018,16639,Rail
"Austin, TX",2019,2043619,Non-Rail
"Austin, TX",2019,23597,Rail
"Austin, TX",2020,1777772,Non-Rail
"Austin, TX",2020,21376,Rail
"Austin, TX",2021,440974,Non-Rail
"Austin, TX",2021,4595,Rail
"Bakersfield, CA",2011,327464,Non-Rail
"Bakersfield, CA",2012,328926,Non-Rail
"Bakersfield, CA",2013,322890,Non-Rail
"Bakersfield, CA",2014,298924,Non-Rail
"Bakersfield, CA",2015,332011,Non-Rail
"Bakersfield, CA",2016,343156,Non-Rail
"Bakersfield, CA",2017,343475,Non-Rail
"Bakersfield, CA",2018,341986,Non-Rail
"Bakersfield, CA",2019,354058,Non-Rail
"Bakersfield, CA",2020,285829,Non-Rail
"Bakersfield, CA",2021,64984,Non-Rail
"Baltimore, MD",2011,3152663,Non-Rail
"Baltimore, MD",2011,518494,Rail
"Baltimore, MD",2012,3242019,Non-Rail
"Baltimore, MD",2012,529969,Rail
"Baltimore, MD",2013,3248092,Non-Rail
"Baltimore, MD",2013,522685,Rail
"Baltimore, MD",2014,3328773,Non-Rail
"Baltimore, MD",2014,517779,Rail
"Baltimore, MD",2015,3567978,Non-Rail
"Baltimore, MD",2015,521258,Rail
"Baltimore, MD",2016,3678354,Non-Rail
"Baltimore, MD",2016,517603,Rail
"Baltimore, MD",2017,3958370,Non-Rail
"Baltimore, MD",2017,513454,Rail
"Baltimore, MD",2018,4071538,Non-Rail
"Baltimore, MD",2018,489949,Rail
"Baltimore, MD",2019,4122225,Non-Rail
"Baltimore, MD",2019,495987,Rail
"Baltimore, MD",2020,2877878,Non-Rail
"Baltimore, MD",2020,455536,Rail
"Baltimore, MD",2021,656259,Non-Rail
"Baltimore, MD",2021,36970,Rail
"Bangor, ME",2011,49122,Non-Rail
"Barnstable Town, MA",2011,253676,Non-Rail
"Barnstable Town, MA",2012,298587,Non-Rail
"Barnstable Town, MA",2013,351091,Non-Rail
"Barnstable Town, MA",2014,382012,Non-Rail
"Barnstable Town, MA",2015,464558,Non-Rail
"Barnstable Town, MA",2016,453965,Non-Rail
"Barnstable Town, MA",2017,506444,Non-Rail
"Barnstable Town, MA",2018,495511,Non-Rail
"Barnstable Town, MA",2019,485486,Non-Rail
"Barnstable Town, MA",2020,317563,Non-Rail
"Barnstable Town, MA",2021,72893,Non-Rail
"Baton Rouge, LA",2011,167018,Non-Rail
"Baton Rouge, LA",2012,167571,Non-Rail
"Baton Rouge, LA",2013,183758,Non-Rail
"Baton Rouge, LA",2014,272123,Non-Rail
"Baton Rouge, LA",2015,310681,Non-Rail
"Baton Rouge, LA",2016,293138,Non-Rail
"Baton Rouge, LA",2017,298404,Non-Rail
"Baton Rouge, LA",2018,297352,Non-Rail
"Baton Rouge, LA",2019,290865,Non-Rail
"Baton Rouge, LA",2020,186906,Non-Rail
"Battle Creek, MI",2011,40420,Non-Rail
"Bay City, MI",2011,86482,Non-Rail
"Bay City, MI",2012,81464,Non-Rail
"Bay City, MI",2013,78493,Non-Rail
