UZAName,Year,Average of VOMS,Category
"Blacksburg, VA",2018,21.25,Non-Rail
"Blacksburg, VA",2019,22.21,Non-Rail
"Blacksburg, VA",2020,19.04,Non-Rail
"Blacksburg, VA",2021,21.17,Non-Rail
"Bloomington, IN",2011,16.71,Non-Rail
"Bloomington, IN",2012,17.13,Non-Rail
"Bloomington, IN",2013,16.71,Non-Rail
"Bloomington, IN",2014,16.79,Non-Rail
"Bloomington, IN",2015,17.75,Non-Rail
"Bloomington, IN",2016,17.46,Non-Rail
"Bloomington, IN",2017,17.13,Non-Rail
"Bloomington, IN",2018,17.75,Non-Rail
"Bloomington, IN",2019,16.96,Non-Rail
"Bloomington, IN",2020,13.08,Non-Rail
"Bloomington, IN",2021,11.83,Non-Rail
"Bloomington-Normal, IL",2011,15.79,Non-Rail
"Bloomington-Normal, IL",2012,15.58,Non-Rail
"Bloomington-Normal, IL",2013,16.17,Non-Rail
"Bloomington-Normal, IL",2014,17.67,Non-Rail
"Bloomington-Normal, IL",2015,17.46,Non-Rail
"Bloomington-Normal, IL",2016,19.58,Non-Rail
"Bloomington-Normal, IL",2017,21.46,Non-Rail
"Bloomington-Normal, IL",2018,20.38,Non-Rail
"Bloomington-Normal, IL",2019,19.63,Non-Rail
"Bloomington-Normal, IL",2020,17.42,Non-Rail
"Bloomington-Normal, IL",2021,17.67,Non-Rail
"Boise City, ID",2011,25.29,Non-Rail
"Boise City, ID",2012,25.08,Non-Rail
"Boise City, ID",2013,25.50,Non-Rail
"Boise City, ID",2014,28.42,Non-Rail
"Boise City, ID",2015,29.50,Non-Rail
"Boise City, ID",2016,35.37,Non-Rail
"Boise City, ID",2017,47.61,Non-Rail
"Boise City, ID",2018,48.19,Non-Rail
"Boise City, ID",2019,49.61,Non-Rail
"Boise City, ID",2020,43.61,Non-Rail
"Boise City, ID",2021,48.56,Non-Rail
"Bonita Springs, FL",2011,20.50,Non-Rail
"Bonita Springs, FL",2012,20.08,Non-Rail
"Bonita Springs, FL",2013,19.25,Non-Rail
"Bonita Springs, FL",2014,18.25,Non-Rail
"Bonita Springs, FL",2015,18.38,Non-Rail
"Bonita Springs, FL",2016,19.08,Non-Rail
"Bonita Springs, FL",2017,21.42,Non-Rail
"Bonita Springs, FL",2018,23.08,Non-Rail
"Bonita Springs, FL",2019,23.71,Non-Rail
"Bonita Springs, FL",2020,19.42,Non-Rail
"Bonita Springs, FL",2021,19.83,Non-Rail
"Boston, MA-NH-RI",2011,102.61,Non-Rail
"Boston, MA-NH-RI",2011,301.17,Rail
"Boston, MA-NH-RI",2012,95.00,Non-Rail
"Boston, MA-NH-RI",2012,298.67,Rail
"Boston, MA-NH-RI",2013,94.20,Non-Rail
"Boston, MA-NH-RI",2013,299.86,Rail
"Boston, MA-NH-RI",2014,97.13,Non-Rail
"Boston, MA-NH-RI",2014,301.67,Rail
"Boston, MA-NH-RI",2015,96.73,Non-Rail
"Boston, MA-NH-RI",2015,301.83,Rail
"Boston, MA-NH-RI",2016,100.09,Non-Rail
"Boston, MA-NH-RI",2016,305.72,Rail
"Boston, MA-NH-RI",2017,102.07,Non-Rail
"Boston, MA-NH-RI",2017,308.50,Rail
"Boston, MA-NH-RI",2018,101.00,Non-Rail
"Boston, MA-NH-RI",2018,308.00,Rail
"Boston, MA-NH-RI",2019,102.34,Non-Rail
"Boston, MA-NH-RI",2019,308.83,Rail
"Boston, MA-NH-RI",2020,94.47,Non-Rail
"Boston, MA-NH-RI",2020,306.00,Rail
"Boston, MA-NH-RI",2021,88.25,Non-Rail
"Boston, MA-NH-RI",2021,288.50,Rail
"Boulder, CO",2020,23.58,Non-Rail
"Bowling Green, KY",2011,6.63,Non-Rail
"Bremerton, WA",2011,57.13,Non-Rail
"Bremerton, WA",2012,55.52,Non-Rail
"Bremerton, WA",2013,53.05,Non-Rail
"Bremerton, WA",2014,54.52,Non-Rail
"Bremerton, WA",2015,64.48,Non-Rail
"Bremerton, WA",2016,59.24,Non-Rail
"Bremerton, WA",2017,46.30,Non-Rail
"Bremerton, WA",2018,41.88,Non-Rail
"Bremerton, WA",2019,42.01,Non-Rail
"Bremerton, WA",2020,37.83,Non-Rail
"Bremerton, WA",2021,41.07,Non-Rail
"Bridgeport-Stamford, CT-NY",2011,21.83,Non-Rail
"Bridgeport-Stamford, CT-NY",2012,21.97,Non-Rail
"Bridgeport-Stamford, CT-NY",2013,22.42,Non-Rail
"Bridgeport-Stamford, CT-NY",2014,22.45,Non-Rail
"Bridgeport-Stamford, CT-NY",2015,22.38,Non-Rail
"Bridgeport-Stamford, CT-NY",2016,21.68,Non-Rail
"Bridgeport-Stamford, CT-NY",2017,20.78,Non-Rail
"Bridgeport-Stamford, CT-NY",2018,22.59,Non-Rail
"Bridgeport-Stamford, CT-NY",2019,22.74,Non-Rail
"Bridgeport-Stamford, CT-NY",2020,20.01,Non-Rail
"Bridgeport-Stamford, CT-NY",2021,18.48,Non-Rail
"Brownsville, TX",2011,13.04,Non-Rail
"Brownsville, TX",2012,12.58,Non-Rail
"Brownsville, TX",2013,12.19,Non-Rail
"Brownsville, TX",2014,10.75,Non-Rail
"Brownsville, TX",2015,10.89,Non-Rail
"Brownsville, TX",2016,10.25,Non-Rail
"Brownsville, TX",2017,10.00,Non-Rail
"Brownsville, TX",2018,10.00,Non-Rail
"Brownsville, TX",2019,12.00,Non-Rail
"Brownsville, TX",2020,12.00,Non-Rail
"Brownsville, TX",2021,12.00,Non-Rail
"Buffalo, NY",2011,161.67,Non-Rail
"Buffalo, NY",2011,23.00,Rail
"Buffalo, NY",2012,158.63,Non-Rail
"Buffalo, NY",2012,22.83,Rail
"Buffalo, NY",2013,162.29,Non-Rail
